borough,latitude,longitude,crash_time,contributing_factor_vehicle_1
MANHATTAN,40.848736,-73.932340,20:07:00,Failure to Yield Right-of-Way
BROOKLYN,40.659890,-73.905360,22:22:00,Unspecified
BROOKLYN,40.610330,-73.959320,12:38:00,Unsafe Lane Changing
QUEENS,40.752556,-73.929720,12:20:00,Unspecified
MANHATTAN,40.718826,-73.984240,2:30:00,Turning Improperly
BROOKLYN,40.652410,-73.926400,12:38:00,Unspecified
BRONX,40.891876,-73.861600,8:50:00,Outside Car Distraction
QUEENS,40.589470,-73.801050,0:00:00,Unspecified
MANHATTAN,40.746680,-73.974500,4:46:00,Turning Improperly
BRONX,40.858140,-73.895744,22:17:00,Unspecified
BROOKLYN,40.708626,-73.945130,14:35:00,Driver Inattention/Distraction
QUEENS,40.734640,-73.874210,15:25:00,Reaction to Uninvolved Vehicle
BROOKLYN,40.628550,-73.952835,10:00:00,Unspecified
BROOKLYN,40.655630,-73.925960,13:40:00,Unspecified
QUEENS,40.687046,-73.792114,10:10:00,Driver Inattention/Distraction
QUEENS,40.703260,-73.864740,11:46:00,Driver Inattention/Distraction
BROOKLYN,40.633114,-73.949280,13:00:00,Driver Inattention/Distraction
STATEN ISLAND,40.620460,-74.076410,13:30:00,Unspecified
MANHATTAN,40.759640,-73.958170,21:24:00,Reaction to Uninvolved Vehicle
QUEENS,40.705452,-73.781490,23:30:00,Reaction to Uninvolved Vehicle
MANHATTAN,40.753480,-73.980896,4:35:00,Unsafe Lane Changing
BRONX,40.843070,-73.848076,23:46:00,Unspecified
BROOKLYN,40.620914,-73.975300,12:30:00,Illnes
MANHATTAN,40.808890,-73.955810,21:43:00,Unsafe Speed
MANHATTAN,40.788470,-73.968895,13:18:00,Driver Inattention/Distraction
QUEENS,40.712776,-73.906010,13:36:00,Following Too Closely
QUEENS,40.758680,-73.875520,0:30:00,Unsafe Speed
QUEENS,40.746610,-73.864730,17:50:00,Alcohol Involvement
BRONX,40.835705,-73.888750,16:01:00,Unsafe Speed
BROOKLYN,40.688404,-73.938030,18:30:00,Unspecified
QUEENS,40.781715,-73.823845,20:00:00,Failure to Yield Right-of-Way
BROOKLYN,40.731422,-73.946410,15:45:00,Failure to Yield Right-of-Way
MANHATTAN,40.761234,-73.963890,8:20:00,Driver Inattention/Distraction
BROOKLYN,40.668976,-73.906680,19:09:00,Unspecified
BROOKLYN,40.637276,-73.931770,18:20:00,Unspecified
MANHATTAN,40.795006,-73.948500,23:32:00,Driver Inattention/Distraction
BRONX,40.875793,-73.854650,22:20:00,Other Vehicular
BROOKLYN,40.673008,-73.978510,12:37:00,Passing or Lane Usage Improper
BRONX,40.874474,-73.900310,12:45:00,Unspecified
BROOKLYN,40.633995,-73.981380,14:25:00,Unspecified
BROOKLYN,40.704937,-73.949320,18:45:00,Other Vehicular
BROOKLYN,40.653873,-74.008156,15:34:00,Reaction to Uninvolved Vehicle
BROOKLYN,40.598570,-73.968900,13:20:00,Unspecified
BROOKLYN,40.688360,-73.964440,15:12:00,Unspecified
BROOKLYN,40.666737,-73.902240,19:30:00,Failure to Yield Right-of-Way
QUEENS,40.713173,-73.900760,10:30:00,Unspecified
QUEENS,40.730060,-73.710754,6:00:00,Unspecified
BROOKLYN,40.652317,-73.927520,16:20:00,Driver Inattention/Distraction
BRONX,40.865532,-73.862380,19:45:00,Other Vehicular
QUEENS,40.721660,-73.888664,13:30:00,Failure to Yield Right-of-Way
QUEENS,40.733723,-73.725160,17:45:00,Unspecified
BRONX,40.875294,-73.908800,0:00:00,Unspecified
BRONX,40.803555,-73.911840,16:54:00,Unspecified
BROOKLYN,40.690450,-73.959435,13:02:00,Passing Too Closely
BROOKLYN,40.658672,-73.900190,11:38:00,Unspecified
BROOKLYN,40.700485,-73.936370,13:07:00,Following Too Closely
BRONX,40.816555,-73.917550,18:49:00,Turning Improperly
QUEENS,40.686570,-73.776146,6:30:00,Unspecified
BROOKLYN,40.654705,-74.007310,17:30:00,Unspecified
BROOKLYN,40.637054,-73.986430,9:50:00,Unspecified
BROOKLYN,40.714912,-73.947840,9:35:00,Following Too Closely
QUEENS,40.747340,-73.886730,6:10:00,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
BROOKLYN,40.696300,-73.975450,18:18:00,Driver Inattention/Distraction
BROOKLYN,40.635980,-73.915146,9:40:00,Unspecified
QUEENS,40.724358,-73.742516,12:00:00,Traffic Control Disregarded
BROOKLYN,40.586277,-73.986200,14:20:00,Driver Inattention/Distraction
BROOKLYN,40.650703,-73.920586,23:05:00,Driver Inattention/Distraction
STATEN ISLAND,40.613780,-74.072250,6:49:00,Passing Too Closely
QUEENS,40.727375,-73.903130,22:15:00,Unsafe Speed
STATEN ISLAND,40.573204,-74.097110,15:10:00,Traffic Control Disregarded
QUEENS,40.740276,-73.927820,16:50:00,Driver Inattention/Distraction
BROOKLYN,40.684000,-73.950310,15:02:00,Passing Too Closely
BROOKLYN,40.681168,-73.929410,21:30:00,Passing Too Closely
QUEENS,40.662476,-73.768326,14:10:00,Unspecified
BROOKLYN,40.647390,-73.923140,20:00:00,Unspecified
QUEENS,40.723130,-73.906140,18:50:00,Unspecified
